Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"can cats tell if your pregnant","4","4","210","81.30","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.45","0.00","0.07","7960000","0.44,0.07,0.04,0.07,0.67,0.12,0.10,0.10,0.24,1.00,0.54,0.10","1469012059"
"whiskas dry cat food","2","3","90","76.26","1.29","http://www.whiskas.com/Products","0.35","0.32","1.00","210000","1.00,0.79,0.50,0.79,0.64,1.00,0.64,1.00,0.50,0.50,0.64,0.64","1468567087"
"whiskas canned cat food","1","1","20","81.61","1.01","http://www.whiskas.com/","0.29","0.19","1.00","83000","0.33,0.67,0.33,0.67,0.67,0.67,0.67,0.67,0.33,0.33,1.00,0.67","1470624936"
"whiska","2","2","70","79.15","4.51","http://www.whiskas.com/Products","0.29","0.89","0.38","792000","0.71,1.00,0.71,1.00,1.00,1.00,0.71,1.00,0.71,0.57,0.71,0.71","1469002823"
"whiskas coupon","1","1","20","55.89","0.39","http://www.whiskas.com/","0.29","0.06","0.50","203000","1.00,1.00,0.50,0.50,0.50,1.00,1.00,1.00,0.50,0.50,1.00,1.00","1466970828"
"wiskas cat food","1","1","20","83.19","1.67","http://www.whiskas.com/","0.29","0.32","1.00","498000","0.67,1.00,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.33,0.67,0.67","1466973681"
"whiskas cat food ingredients","1","1","20","70.34","1.03","http://www.whiskas.com/Products/Product/indoor","0.29","0.19","0.72","75000","0.67,0.33,0.67,0.33,0.33,0.67,0.33,0.33,1.00,0.67,0.33,0.33","1469039346"
"cats life cycle","4","3","140","76.86","0.99","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.29","0.19","0.08","1450000","0.54,0.81,1.00,0.35,0.27,0.19,0.19,0.42,0.65,0.35,0.65,0.54","1467769437"
"whiskers food","1","1","20","64.57","0.00","http://www.whiskas.com/","0.29","0.00","0.03","771000","0.33,0.67,0.33,0.67,0.67,1.00,1.00,0.67,0.67,0.33,0.67,0.67","1470741550"
"whiskas wet cat food","2","2","70","78.78","1.67","http://www.whiskas.com/Products","0.29","0.32","0.99","145000","0.56,0.44,0.44,0.78,0.78,0.78,0.56,0.78,0.78,0.78,1.00,1.00","1469516432"
