Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"chicken cats","63","63","30","75.19","0.00","http://www.whiskas.com/Products/Product/chicken","0.00","0.00","0.06","36900000","0.50,0.50,0.75,0.75,0.25,0.75,0.75,0.75,1.00,1.00,0.75,0.75","1470428966"
"domesticated cat","63","63","260","88.55","2.78","http://www.whiskas.com/CatsCorner/Article/The-Domestication-of-Cats","0.00","0.00","0.08","1140000","1.00,0.81,0.81,0.66,0.66,0.66,0.81,0.81,0.81,0.81,0.81,1.00","1468610090"
"canadian cat food","96","0","40","48.26","2.18","http://www.whiskas.com/","0.00","0.00","0.91","4540000","0.75,0.75,0.75,0.75,1.00,0.75,0.75,1.00,1.00,1.00,1.00,1.00","1469779848"
"cats and dry food","80","99","20","78.65","0.00","http://www.whiskas.com/Products/Product/indoor","0.00","0.00","0.65","22000000","0.25,0.50,0.50,0.75,0.75,0.75,1.00,0.50,0.25,0.50,0.50,0.50","1465505297"
"teaching good manners","68","79","30","85.45","3.07","http://www.whiskas.com/CatsCorner/Article/Teaching-Kittens-Good-Manners","0.00","0.00","0.23","1260000","0.80,0.40,1.00,0.60,0.40,0.60,0.80,0.40,0.40,0.60,0.80,0.60","1469910027"
"what table foods can cats eat","37","31","20","84.31","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.57","437000","0.25,0.25,0.25,0.75,1.00,1.00,0.75,0.25,0.25,0.50,0.25,0.25","1465493988"
"whiskas crunch","52","65","10","56.32","0.00","http://www.whiskas.com/","0.00","0.00","0.09","87000","1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468010433"
"flutd cat","34","38","70","71.17","0.00","http://www.whiskas.com/CatsCorner/Article/Urinary-Tract-Diseases-FLUTD","0.00","0.00","0.02","108000","0.41,0.29,0.41,0.18,0.24,0.29,0.18,0.29,1.00,0.41,0.53,0.29","1469649469"
"diarrhea and vomiting in cats","49","60","50","73.12","0.45","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","0.29","438000","0.71,0.57,0.71,0.57,1.00,1.00,0.71,0.71,1.00,1.00,1.00,0.71","1469695342"
"how long to feed kitten food","41","38","170","75.83","8.97","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.55","1130000","0.65,0.54,0.54,0.42,0.65,0.81,0.81,1.00,1.00,0.81,0.81,0.54","1469017996"
"how often should a kitten be fed","22","42","20","80.05","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.26","477000","0.25,0.25,0.50,0.50,0.50,0.75,0.75,1.00,1.00,0.75,0.25,0.25","1470789844"
"salmon for dinner","51","62","110","89.03","2.86","http://www.whiskas.com/Products/Product/salmon-dinner-in-sauce","0.00","0.00","0.03","72700000","0.79,0.79,0.64,0.64,0.64,0.79,0.79,0.64,0.64,0.50,1.00,0.79","1467831430"
"how to make cat clothes for your cat","47","40","20","77.67","0.14","http://www.whiskas.com/CatsCorner/Article/Staying-Warm-in-the-Winter","0.00","0.00","0.74","15800000","0.33,0.33,0.33,0.33,0.67,1.00,0.33,0.67,1.00,1.00,1.00,1.00","1470665207"
"mackerel cats","35","59","20","75.54","0.00","http://www.whiskas.com/Products/Product/sardine-mackerel","0.00","0.00","0.02","413000","1.00,0.50,0.75,0.25,0.50,0.50,0.50,0.75,0.50,1.00,0.75,0.50","1470762573"
"corner cat","77","80","50","82.73","0.28","http://www.whiskas.com/CatsCorner/Articles","0.00","0.00","0.67","82700000","0.56,0.56,0.56,0.56,0.78,0.44,0.56,0.56,0.56,0.56,0.78,1.00","1469698551"
"signs of a cat being pregnant","99","0","50","74.71","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.02","1010000","1.00,1.00,0.78,0.33,0.56,0.33,0.22,0.44,0.44,0.56,0.44,0.44","1469716132"
"best foods for kittens","92","0","30","0.00","9.74","http://www.whiskas.com/Products/Product/kitten","0.00","0.00","0.83","5880000","0.20,0.40,0.60,0.60,0.80,1.00,0.80,0.60,0.80,0.60,1.00,0.40","1469903735"
"what cats need","53","75","30","79.99","0.00","http://www.whiskas.com/CatsCorner/Article/Cats-Need-Exercise-Too","0.00","0.00","0.01","140000000","0.60,0.60,0.60,1.00,0.80,0.60,0.60,0.40,0.60,0.80,1.00,0.40","1470736773"
"how to tell if your cat is pregnant","47","49","2900","76.94","3.15","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.04","0.02","3250000","1.00,0.82,0.82,0.66,0.66,0.55,0.55,0.55,0.55,0.66,0.82,0.82","1471716560"
"is whiskas good for cats","13","0","10","72.06","0.00","http://www.whiskas.com/CatsCorner/Article/Good-Habits-for-Cat-Owners","0.00","0.00","0.02","3180000","0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468658519"
"is whiskas good for cats","12","12","10","72.06","0.00","http://www.whiskas.com/","0.00","0.00","0.02","3180000","0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468658519"
"is whiskas good for cats","11","13","10","72.06","0.00","http://www.whiskas.com/CatsCorner/Article/the-healthy-cat-checklist","0.00","0.00","0.02","3180000","0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468658519"
"is whiskas good for cats","14","0","10","72.06","0.00","http://www.whiskas.com/Home/Faqs","0.00","0.00","0.02","3180000","0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468658519"
"how do i know my cats pregnant","55","59","10","78.12","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.16","4710000","0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00","1466860543"
"dry food cat","67","0","10","77.56","4.75","http://www.whiskas.com/Products/Product/indoor","0.00","0.00","1.00","57800000","0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00","1466825010"
"whiskas facebook","14","10","10","72.40","0.00","http://www.whiskas.com/","0.00","0.00","0.00","565000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1465932000"
"good cat food for urinary tract health","100","75","40","75.31","3.65","http://www.whiskas.com/CatsCorner/Article/Urinary-Tract-Diseases-FLUTD","0.00","0.00","1.00","438000","0.71,1.00,0.43,0.43,0.57,0.43,0.71,1.00,0.71,0.71,0.57,0.29","1469761460"
"how much food to feed cats","93","0","10","77.34","0.46","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.42","1610000","0.50,1.00,0.50,0.50,0.50,1.00,0.50,1.00,0.50,1.00,1.00,0.50","1465836721"
"kidney failure cat","71","79","90","74.00","4.29","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","0.12","1260000","0.64,0.64,0.64,0.79,1.00,1.00,0.64,0.64,0.64,0.79,0.64,0.50","1467987372"
"a good cat name","53","61","20","78.63","1.11","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.33","26600000","1.00,0.50,1.00,0.50,0.50,1.00,0.50,1.00,1.00,1.00,1.00,1.00","1470623354"
"locator cat","91","0","20","73.74","0.00","http://www.whiskas.com/StoreLocator","0.00","0.00","0.87","472000000","1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50","1465634223"
"sardin fish","26","31","30","83.25","0.00","http://www.whiskas.com/Products/Product/sardine-mackerel","0.00","0.00","0.01","569000","0.50,0.50,0.75,0.75,1.00,0.75,1.00,0.50,0.50,0.75,0.50,0.50","1470521560"
"cuts of salmon","70","62","50","69.82","0.00","http://www.whiskas.com/Products/Product/poached-salmon-in-sauce","0.00","0.00","0.02","13900000","0.71,0.71,0.71,1.00,0.71,0.71,0.71,0.43,0.57,0.71,1.00,0.71","1469750561"
"how often to feed kitten","51","60","70","80.17","5.39","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.52","653000","0.18,0.36,1.00,0.82,0.82,0.82,0.82,0.64,0.64,0.45,0.36,0.18","1469500550"
"calories in cat food","14","15","90","59.61","3.77","http://www.whiskas.com/Home/Faqs","0.00","0.04","0.24","1300000","1.00,0.64,0.82,1.00,1.00,0.82,1.00,0.82,0.82,0.64,1.00,0.82","1467988012"
"cat food cost","76","75","70","79.03","2.22","http://www.whiskas.com/","0.00","0.00","1.00","11000000","0.45,0.64,0.82,0.64,0.64,0.45,0.82,0.64,0.64,0.82,0.64,1.00","1469020646"
"do pets know when your pregnant","8","0","20","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.02","1570000","0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,1.00,0.60,0.20","1465645935"
"low phosphorus dry cat food","74","88","70","67.54","2.77","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","1.00","115000","1.00,0.78,0.56,0.78,1.00,0.78,0.56,0.78,0.78,1.00,0.78,0.78","1469019088"
"cat eats kittens","30","36","30","77.67","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.00","567000","0.60,0.60,0.80,1.00,1.00,1.00,0.80,0.80,0.40,0.40,0.40,0.40","1470420171"
"cat food for bladder crystals","49","56","30","0.00","4.28","http://www.whiskas.com/CatsCorner/Article/Caring-for-Struvite-Stones","0.00","0.00","1.00","65000","0.80,0.60,0.60,0.80,0.60,0.40,0.60,0.80,1.00,0.80,0.60,0.60","1469907155"
"special kitty cat food coupons","22","62","20","61.19","7.04","http://www.whiskas.com/","0.00","0.00","0.83","160000","0.67,0.33,0.67,0.67,0.67,1.00,0.67,0.67,1.00,0.67,0.33,0.67","1469089101"
"mars petcare franklin tn","54","0","320","86.97","0.14","http://www.whiskas.com/Home/SiteOwner","0.00","0.00","0.01","20000","0.67,0.81,0.81,0.44,0.44,0.81,0.81,1.00,0.44,0.23,0.44,0.81","1468689273"
"what do kittens like to eat","56","23","50","83.49","2.42","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.44","353000000","0.22,0.22,0.78,1.00,0.78,0.78,0.56,0.78,0.44,0.33,0.11,0.22","1469663153"
"kittens sleeping","38","21","390","77.82","0.00","http://www.whiskas.com/CatsCorner/Article/Sleep","0.00","0.00","0.02","694000","1.00,0.81,0.81,1.00,0.81,0.81,0.81,1.00,0.81,1.00,1.00,0.81","1468898067"
"how to wean a kitten from its mother","12","18","30","84.33","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.00","13000","0.27,0.64,1.00,0.36,0.27,0.27,0.27,0.18,0.09,0.09,0.09,0.09","1470471960"
"cat loss appetite","63","62","10","73.99","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-After-Illness-or-Surgery","0.00","0.00","0.05","694000","0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50","1466636530"
"kitten stages of growth","20","20","20","72.49","0.00","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.00","0.00","0.03","405000","0.14,0.14,0.29,0.29,0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.29","1465584235"
"domestic african cats","51","49","20","77.78","0.00","http://www.whiskas.com/CatsCorner/Article/The-Domestication-of-Cats","0.00","0.00","0.06","959000","1.00,0.75,0.75,0.50,0.50,0.50,0.75,0.50,0.75,0.50,0.50,0.25","1470778339"
"mixedgrill","51","79","10","86.83","0.00","http://www.whiskas.com/Products/Product/mixed-grill-gravy","0.00","0.00","0.00","14300000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1467856423"
"soft cat food not canned","93","92","40","82.08","6.31","http://www.whiskas.com/Home/Faqs","0.00","0.00","0.86","2410000","0.44,0.33,0.33,0.56,0.44,0.33,0.22,0.22,0.44,0.33,0.78,1.00","1469777154"
"cats names in cats","76","78","10","76.35","3.07","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.19","29100000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466803905"
"cat diarrhea","55","61","5400","78.88","3.15","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.02","0.49","565000","0.82,0.82,0.67,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82","1471548528"
"advertising kittens for sale","39","47","10","65.81","0.00","http://www.whiskas.com/CatsCorner/Article/Where-to-Get-a-Kitten","0.00","0.00","0.40","659000","1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00","1467472170"
"cats photo gallery","99","0","10","71.46","0.00","http://www.whiskas.com/CatsCorner/Purrems","0.00","0.00","0.00","21900000","1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00","1466544547"
"one month old kittens","57","63","30","78.60","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.01","25000000","0.25,0.75,1.00,1.00,0.75,0.75,1.00,0.75,0.25,0.50,0.25,0.25","1470439728"
"best wet food for kittens","84","84","320","79.56","5.00","http://www.whiskas.com/","0.00","0.00","1.00","1010000","0.23,0.29,0.54,0.81,0.81,1.00,0.81,1.00,0.81,0.67,0.67,0.44","1468545779"
"mythological cats names","56","0","10","0.00","4.48","http://www.whiskas.com/CatsCorner/Article/whats-in-a-name","0.00","0.00","0.09","370000","1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1465695928"
"how many hours cat sleep","86","93","30","75.62","0.00","http://www.whiskas.com/CatsCorner/Article/Sleep","0.00","0.00","0.00","61800000","0.40,0.40,0.20,0.20,0.40,0.40,0.40,0.80,0.40,0.60,0.60,1.00","1461826444"
"names for tabby kittens","41","40","20","71.26","0.08","http://www.whiskas.com/CatsCorner/Article/whats-in-a-name","0.00","0.00","0.19","391000","0.33,0.33,0.67,0.33,0.33,1.00,0.33,0.67,0.33,1.00,0.67,0.67","1466891553"
"cat sleeps a lot","64","52","50","80.26","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-After-Illness-or-Surgery","0.00","0.00","0.00","757000","0.71,0.57,0.71,0.43,1.00,1.00,0.71,0.57,0.71,1.00,1.00,0.71","1469710274"
"what to feed a cat with kidney failure","46","49","20","0.00","0.86","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","0.54","859000","0.20,0.60,0.60,0.40,0.20,0.40,0.20,0.20,0.20,0.60,0.60,1.00","1470628687"
"how to litter train your kitten","96","100","30","71.03","0.00","http://www.whiskas.com/CatsCorner/Article/House-Training-Your-Cat","0.00","0.00","0.20","251000","0.40,0.40,1.00,1.00,1.00,0.60,0.80,0.60,0.60,0.20,0.20,0.20","1470418327"
"cats and pregnant women","42","49","590","86.22","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.04","11600000","0.82,1.00,0.82,1.00,0.36,0.67,0.55,0.44,0.44,0.44,0.82,0.36","1468492614"
"names for silver cats","57","52","50","66.20","0.00","http://www.whiskas.com/CatsCorner/Article/whats-in-a-name","0.00","0.00","0.13","989000","0.80,0.60,1.00,0.80,1.00,1.00,1.00,1.00,0.80,1.00,1.00,0.60","1469739984"
"good name for a cat","47","0","50","79.63","0.69","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.24","171000000","0.57,0.43,1.00,1.00,1.00,1.00,0.71,1.00,0.71,0.71,0.57,0.57","1469691520"
"cat sleep","73","80","320","81.29","0.17","http://www.whiskas.com/CatsCorner/Article/Sleep","0.00","0.00","0.32","160000000","0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.82,0.82,1.00,1.00","1468689293"
"cat feeding habits","64","59","10","74.92","0.00","http://www.whiskas.com/CatsCorner/Article/Good-Habits-for-Cat-Owners","0.00","0.00","0.45","1170000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466804422"
"bringing new kitten home","34","64","50","78.10","1.49","http://www.whiskas.com/CatsCorner/Article/bringing-your-new-kitten-home","0.00","0.00","0.07","1770000","0.11,0.33,0.56,0.78,1.00,0.78,0.56,0.56,0.78,0.56,0.56,0.44","1469671559"
"women breastfeeding cats","61","73","30","80.39","0.12","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.09","846000","0.75,0.50,1.00,0.50,0.50,1.00,0.25,0.50,1.00,0.75,0.50,0.75","1469964696"
"what age can kittens eat solid food","19","18","20","80.33","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.30","171000","0.40,0.40,0.40,0.80,1.00,0.40,0.20,0.20,0.20,0.20,0.20,0.20","1465584387"
"manners 101","52","0","50","72.04","0.02","http://www.whiskas.com/CatsCorner/Article/kitten-manners-101","0.00","0.00","0.06","15400000","0.71,1.00,0.71,1.00,1.00,0.71,1.00,0.71,0.71,0.71,1.00,1.00","1469704295"
"wiskas cat","4","0","10","68.07","0.00","http://www.whiskas.com/Products/Product/meaty-selections","0.00","0.00","0.32","404000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468116853"
"wiskas cat","3","0","10","68.07","0.00","http://www.whiskas.com/Products/Product/kitten","0.00","0.00","0.32","404000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468116853"
"what age to wean kittens","16","16","30","77.06","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.00","79000","0.29,0.57,1.00,1.00,0.57,0.71,0.43,0.29,0.14,0.14,0.14,0.14","1469072718"
"more cat food","38","0","10","71.34","0.00","http://www.whiskas.com/","0.00","0.00","0.60","21900000","1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00","1468393008"
"all my cat does is sleep","88","91","50","81.76","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-After-Illness-or-Surgery","0.00","0.00","0.00","13600000","0.71,0.71,0.57,0.57,0.71,0.71,1.00,0.43,0.71,1.00,1.00,0.43","1469724758"
"what do baby cats eat","64","76","170","82.03","0.25","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.19","11400000","0.13,0.44,1.00,0.82,0.67,0.54,0.67,0.54,0.36,0.18,0.10,0.08","1467537159"
"how often and how much to feed a cat","91","81","30","76.48","2.76","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.09","36200000","0.75,0.75,1.00,0.25,0.50,0.50,0.75,0.50,1.00,0.75,0.50,0.50","1469481888"
"how to wean kittens from mother","14","13","20","81.81","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.00","47000","0.25,0.25,0.25,0.50,0.50,0.50,1.00,0.75,0.25,0.25,0.25,0.25","1456566978"
"tabby cats behavior","41","63","40","72.47","2.37","http://www.whiskas.com/CatsCorner/Article/Training-Your-Cat","0.00","0.00","0.25","230000","0.43,0.57,0.43,0.71,0.29,0.43,0.43,0.71,0.57,0.57,1.00,0.57","1469778099"
"how much should cat eat","49","47","40","77.95","1.19","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.09","20300000","0.57,0.29,0.43,0.57,0.57,0.71,0.57,0.71,0.57,1.00,0.57,0.71","1469789043"
"cats behavior when in heat","25","25","10","82.50","0.00","http://www.whiskas.com/CatsCorner/Article/Cats-In-Heat","0.00","0.00","0.04","552000","1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50","1467219433"
"6 month old kittens","64","37","40","79.61","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.05","2230000","0.80,0.60,0.40,0.40,0.60,0.80,1.00,1.00,0.80,1.00,1.00,1.00","1469874894"
"kitten sleeps all day","62","0","50","75.89","0.00","http://www.whiskas.com/CatsCorner/Article/Sleep","0.00","0.00","0.06","1120000","0.11,0.22,0.78,0.56,0.44,0.44,1.00,1.00,1.00,0.56,0.44,0.11","1469738379"
"cats name","32","43","320","77.88","0.61","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.26","15500000","0.67,0.82,1.00,0.82,1.00,1.00,0.82,0.82,0.82,0.67,0.82,0.67","1468549771"
"do cats lose their baby teeth","89","93","260","77.37","0.00","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.00","0.00","0.00","951000","0.24,0.12,0.12,0.29,0.54,0.36,0.36,0.36,0.81,1.00,0.66,0.19","1468937357"
"bulk buy cat food","97","0","10","77.37","1.23","http://www.whiskas.com/","0.00","0.00","1.00","2500000","1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466797441"
"cat food coupons canada","95","0","10","63.37","0.00","http://www.whiskas.com/","0.00","0.00","1.00","1620000","0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00","1468396115"
"what do you feed kittens at 6 weeks old","90","63","10","73.35","2.41","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.53","576000","0.33,0.33,0.33,1.00,1.00,0.33,0.33,0.33,0.67,0.33,0.33,0.33","1466968076"
"body temp of cats","97","0","10","84.30","0.00","http://www.whiskas.com/CatsCorner/Article/Sleep","0.00","0.00","0.11","381000","0.50,0.50,0.50,1.00,0.50,0.50,1.00,0.50,1.00,0.50,0.50,1.00","1467920680"
"kittens with mother","30","33","30","80.64","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.08","4170000","0.60,0.40,0.80,0.60,0.60,0.60,1.00,0.80,0.60,0.60,0.40,1.00","1470340168"
"gourmet cat food offers","46","46","110","71.50","0.00","http://www.whiskas.com/","0.00","0.00","0.21","3300000","0.79,0.36,0.79,0.64,0.79,0.79,0.79,1.00,0.79,1.00,0.64,0.21","1467980840"
"changing cat litter during pregnancy","98","0","30","82.65","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.00","215000","0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.56,0.44,0.78,0.44,0.11","1470420071"
"causes for diarrhea in cats","87","0","30","79.04","1.32","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","0.64","496000","1.00,1.00,0.50,0.75,0.50,0.75,0.75,1.00,1.00,1.00,0.75,1.00","1469922180"
"cat food for renal disease","87","0","20","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","1.00","379000","0.75,0.25,0.50,0.25,0.25,0.50,1.00,0.25,0.25,0.25,0.50,0.25","1465644045"
"can i feed a kitten milk","48","55","30","77.99","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.14","1970000","0.25,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.25,0.25","1470321746"
"kitten to give away","86","0","10","76.30","0.00","http://www.whiskas.com/CatsCorner/Article/Where-to-Get-a-Kitten","0.00","0.00","0.75","2580000","1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468459836"
"caring for old cats","26","33","10","76.95","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Older-Cats","0.00","0.00","0.37","64200000","0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50","1466802307"
"best food for cats with diarrhea","35","46","40","77.93","3.17","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","1.00","1840000","0.60,0.60,0.40,0.80,0.80,0.60,0.40,0.60,0.80,1.00,1.00,1.00","1469762620"
"what to do when your cat is pregnant","61","100","50","81.67","4.39","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.02","2020000","1.00,0.82,0.64,0.64,0.64,0.36,0.18,0.27,0.18,0.18,0.27,0.82","1469656044"
"kittens litter box training","94","0","10","75.84","0.00","http://www.whiskas.com/CatsCorner/Article/House-Training-Your-Cat","0.00","0.00","0.25","680000","0.25,0.25,0.50,0.25,0.50,1.00,0.50,0.50,0.25,0.25,0.25,0.25","1466872208"
"how much wet food to feed a kitten","80","94","260","0.00","5.49","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.38","311000","0.29,0.19,0.35,1.00,1.00,0.35,0.35,0.81,1.00,0.81,0.54,0.15","1468608689"
"how often should you feed your cat","70","70","110","82.41","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.06","6780000","0.53,0.53,0.65,0.53,0.82,0.65,0.65,0.65,0.82,0.82,1.00,0.82","1468200286"
"who is site owner","91","0","10","69.74","0.00","http://www.whiskas.com/Home/SiteOwner","0.00","0.00","0.15","550000000","1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00","1467717828"
"when do you start weaning kittens","17","17","20","82.24","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.00","182000","0.20,0.60,1.00,0.40,0.60,0.40,0.40,0.40,0.20,0.20,0.20,0.20","1466969249"
"how do i know if a cat is pregnant","49","57","20","75.05","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.00","21200000","0.67,0.67,1.00,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.33,0.67","1470820039"
"pregnancy test for cats","80","75","40","76.33","0.31","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.89","2710000","1.00,0.71,0.43,0.57,0.57,0.43,0.43,0.43,0.57,0.57,0.57,0.71","1469825339"
"best food for cats","89","0","1000","81.33","2.00","http://www.whiskas.com/","0.00","0.00","1.00","91900000","0.77,0.68,0.77,0.77,0.77,1.00,0.77,0.77,0.77,0.77,1.00,0.77","1469466384"
"how do you know if cats are pregnant","53","44","20","75.84","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.02","1960000","0.67,0.67,0.67,1.00,0.67,0.33,0.33,0.33,0.33,0.67,1.00,1.00","1465421759"
"what to feed a finicky cat","29","26","30","79.34","0.68","http://www.whiskas.com/CatsCorner/Article/Feeding-Finicky-Cats","0.00","0.00","0.33","191000","0.60,0.60,0.60,0.80,0.80,1.00,0.60,0.80,0.80,0.60,0.60,0.80","1469932045"
